Dimension,Classical SVM,Quantum SVM,Winner / Comment
Classification Performance,,,
Accuracy,70.00%,70.50%,Quantum (+0.5%)
Precision,75.00%,70.77%,Classical (+4.2%)
Recall,85.71%,98.57%,Quantum (+12.9%)
F1-Score,80.00%,82.39%,Quantum (+2.4%)
,,,
Computational Efficiency,,,
Training Time,0.04s,396.26s,"Classical (9,894x faster)"
Prediction Time,0.003s,266.13s,"Classical (90,551x faster)"
Total Runtime,0.04s,662.38s,"Classical (15,415x faster)"
,,,
Error Analysis,,,
False Negatives (FN),20 (high risk),2 (very low risk),Quantum (90% reduction)
False Positives (FP),40 (moderate),57 (higher),Classical (30% fewer)
Type II Error Rate,14.3%,1.4%,Quantum (90% reduction)
,,,
Business Impact,,,
Risk Profile,Balanced,Risk-averse,Different strategies
Suitable For,Standard lending,Conservative lending,Depends on risk tolerance
